BSC1st Year 2021-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Detail,,,,,Physics,,,,Mathematics,,,Chemistry,,,,Computer Science,,,,Psychology,,,Defence Studies,,,Statistics,,,Anthropology,,,Biochemistry,,,,Botany,,,,Zoology,,,,Geography,,,Geology,,,
2206245,I2110245,177,177,Elig/SE,17,12,7,21,06,24,15,25,18,5,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206246,I2110246,193,193,Passed,14,17,14,13,11,28,21,--,--,--,--,--,--,--,--,--,--,--,22,30,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206247,I2110247,290,290,Passed,21,28,21,41,18,21,39,--,--,--,--,24,26,22,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206248,I2110248,234,234,Elig/SE,19,16,21,30,20,5,19,--,--,--,--,26,24,24,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206249,I2110249,119,119,Failed,11,11,5,21,02,02,01,--,--,--,--,--,--,--,--,--,--,--,26/12/28 0:00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206250,I2110250,292,292,Passed,--,--,--,--,--,--,--,22,17,20,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,23,22,33,17,23,24,37,--,--,--,--,--,--,--
2206252,I2110252,192,192,Elig/SE,12,16,20,18,05,18,14,--,--,--,--,20,22,15,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206253,I2110253,185,185,Elig/SE,20,0,AA,15,30,17,29,--,--,--,--,14,17,15,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206254,I2110254,254,254,Passed,13,14,21,20,30,36,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,34,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206256,I2110256,258,258,Passed,24,19,24,29,17,22,28,--,--,--,--,--,--,--,--,--,--,--,33,31,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206257,I2110257,217,217,Passed,18,17,14,25,13,21,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36,30,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206258,I2110258,131,131,Failed,15,1,9,15,17,5,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,20,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206259,I2110259,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206260,I2110260,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--
2206261,I2110261,176,176,Elig/SE,15,11,15,18,08,11,17,--,--,--,--,19,18,15,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206262,I2110262,171,171,Elig/SE,--,--,--,--,--,--,--,0,17,5,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9,17,8,23,6,17,16,25,--,--,--,--,--,--,--
2206263,I2110263,159,159,Elig/SE,17,11,12,24,7,AA,0,--,--,--,--,23,20,14,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206264,I2110264,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206265,I2110265,137,137,Failed,--,--,--,--,--,--,--,5,22,1,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7,5,0,19,0,9,16,23,--,--,--,--,--,--,--
2206266,I2110266,228,228,Passed,--,--,--,--,--,--,--,12,21,4,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,20,15,35,16,8,6,32,--,--,--,--,--,--,--,--,--,--,--
2206267,I2110267,214,214,Passed,--,--,--,--,--,--,--,22,21,10,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,13,7,27,8,17,17,23,--,--,--,--,--,--,--
2206268,I2110268,128,128,Failed,--,--,--,--,--,--,--,5,14,2,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,10,0,19,2,9,15,22,--,--,--,--,--,--,--
2206269,I2110269,10,10,Failed,AA,AA,AA,10,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206270,I2110270,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206272,I2110272,280,280,Passed,18,14,32,36,24,34,25,--,--,--,--,22,18,25,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206273,I2110273,161,161,Failed,12,5,8,22,02,09,20,--,--,--,--,15,19,20,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206274,I2110274,152,152,Failed,17,12,12,14,0,1,7,--,--,--,--,22,22,16,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206275,I2110275,285,285,Passed,--,--,--,--,--,--,--,27,26,15,45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,23,12,34,17,20,19,28,--,--,--,--,--,--,--
2206276,I2110276,193,193,Elig/SE,--,--,--,--,--,--,--,8,24,4,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14,9,4,38,7,17,18,26,--,--,--,--,--,--,--
2206277,I2110277,109,109,Failed,15,4,8,16,0,1,1,12,19,10,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206278,I2110278,250,250,Passed,18,16,26,27,19,25,26,27,26,13,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206279,I2110279,172,172,Failed,--,--,--,--,--,--,--,8,15,4,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,13,11,31,12,7,2,29,--,--,--,--,--,--,--,--,--,--,--
2206280,I2110280,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206281,I2110281,320,320,Passed,22,26,17,29,42,31,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43,35,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206282,I2110282,144,144,Failed,11,5,11,26,03,03,03,--,--,--,--,21,20,11,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206283,I2110283,193,193,Passed,--,--,--,--,--,--,--,3,19,11,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,15,8,23,10,20,19,27,--,--,--,--,--,--,--
2206285,I2110285,193,193,Elig/SE,22,11,19,22,03,24,05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,30,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206286,I2110286,123,123,Failed,11,3,4,21,04,04,01,--,--,--,--,13,18,15,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206287,I2110287,16,16,Failed,AA,AA,AA,16,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206288,I2110288,174,174,Failed,16,5,11,26,08,08,22,--,--,--,--,18,19,11,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206289,I2110289,151,151,Failed,13,4,8,21,04,06,11,17,26,17,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206290,I2110290,262,262,Passed,23,8,23,26,17,29,21,--,--,--,--,31,24,28,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206291,I2110291,145,145,Failed,14,6,5,21,06,02,06,--,--,--,--,20,19,18,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206292,I2110292,278,278,Passed,17,15,19,27,35,28,45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,27,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206293,I2110293,186,186,Passed,--,--,--,--,--,--,--,4,24,13,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,22,4,26,6,14,17,21,--,--,--,--,--,--,--
2206294,I2110294,188,188,Elig/SE,14,14,7,23,09,11,21,27,18,17,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206295,I2110295,141,141,Failed,--,--,--,--,--,--,--,4,20,7,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,7,2,22,3,9,14,21,--,--,--,--,--,--,--
2206296,I2110296,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2206297,I2110297,260,260,Passed,--,--,--,--,--,--,--,21,20,10,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,24,17,28,11,25,21,32,--,--,--,--,--,--,--
2206298,I2110298,117,117,Failed,11,2,1,15,06,10,08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,17,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206299,I2110299,156,156,Failed,8,4,11,17,07,15,17,--,--,--,--,18,15,15,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206300,I2110300,232,232,Passed,21,15,18,17,27,22,24,--,--,--,--,--,--,--,--,--,--,--,33,28,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206301,I2110301,188,188,Elig/SE,16,11,13,18,07,23,15,17,16,11,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206302,I2110302,202,202,Elig/SE,16,12,19,18,07,17,08,28,24,11,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206303,I2110303,144,144,Failed,9,2,8,13,0,16,5,--,--,--,--,--,--,--,--,--,--,--,32,32,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206304,I2110304,43,43,Failed,AA,AA,0,13,0,3,AA,0,AA,AA,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206305,I2110305,165,165,Failed,16,8,5,17,03,16,12,--,--,--,--,18,18,19,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206306,I2110306,260,260,Passed,22,11,16,27,29,21,32,--,--,--,--,26,20,22,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206307,I2110307,198,198,Passed,--,--,--,--,--,--,--,15,17,7,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14,11,9,22,11,18,18,31,--,--,--,--,--,--,--
2206308,I2110308,168,168,Failed,18,8,3,17,24,12,11,16,21,12,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206309,I2110309,303,303,Passed,24,15,22,34,23,35,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38,36,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206310,I2110310,132,132,Failed,5,5,4,21,19,10,4,--,--,--,--,9,19,8,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206311,I2110311,230,230,Passed,--,--,--,--,--,--,--,16,22,10,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,13,10,32,11,19,16,32,--,--,--,--,--,--,--
2206312,I2110312,180,180,Elig/SE,21,11,4,19,13,13,14,--,--,--,--,19,22,16,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206313,I2110313,89,89,Failed,7,2,2,19,0,7,4,7,8,6,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206314,I2110314,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2206315,I2110315,326,326,Passed,--,--,--,--,--,--,--,31,23,20,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,22,23,42,18,25,21,38,--,--,--,--,--,--,--
2206316,I2110316,139,139,Failed,--,--,--,--,--,--,--,2,13,9,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,1,0,24,4,8,13,28,--,--,--,--,--,--,--
2206317,I2110317,228,228,Failed,--,--,--,--,--,--,--,26,21,16,45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15,12,2,27,4,13,15,32,--,--,--,--,--,--,--
2206318,I2110318,90,90,Failed,7,1,0,18,02,01,00,--,--,--,--,--,--,--,--,--,--,--,17,24,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206319,I2110319,263,263,Passed,17,14,19,26,37,17,32,--,--,--,--,--,--,--,--,--,--,--,35,35,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206320,I2110320,45,45,Failed,11,1,5,AA,01,03,00,4,14,6,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206321,I2110321,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206322,I2110322,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206323,I2110323,128,128,Failed,--,--,--,--,--,--,--,9,11,12,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,3,0,12,3,12,17,21,--,--,--,--,--,--,--
2206324,I2110324,224,224,Passed,24,5,21,23,27,7,25,--,--,--,--,21,20,22,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206325,I2110325,159,159,Elig/SE,19,6,12,21,11,01,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,23,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206327,I2110327,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2206328,I2110328,99,99,Failed,0,1,1,18,09,01,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,17,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206329,I2110329,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206331,I2110331,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206332,I2110332,35,35,Failed,3,2,1,AA,5,0,2,--,--,--,--,7,10,5,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206333,I2110333,110,110,Failed,11,3,1,18,3,6,AA,--,--,--,--,--,--,--,--,--,--,--,17,25,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206334,I2110334,153,153,Failed,4,5,6,25,24,5,15,13,15,9,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206335,I2110335,246,246,Passed,19,9,18,23,34,17,29,--,--,--,--,21,24,21,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206337,I2110337,132,132,Failed,7,2,1,13,09,03,16,--,--,--,--,24,16,10,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206338,I2110338,165,165,Failed,7,5,8,25,22,5,19,--,--,--,--,17,18,9,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206339,I2110339,69,69,Failed,2,1,2,10,15,0,4,--,--,--,--,--,--,--,--,--,--,--,17,18,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206340,I2110340,251,251,Passed,22,11,19,28,13,31,26,26,23,21,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206341,I2110341,272,272,Passed,--,--,--,--,--,--,--,26,24,18,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,16,15,30,19,21,19,34,--,--,--,--,--,--,--
2206342,I2110342,213,213,Passed,12,8,17,17,16,17,28,--,--,--,--,18,25,24,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206343,I2110343,246,246,Passed,17,7,11,21,36,22,36,27,19,18,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206344,I2110344,210,210,Passed,--,--,--,--,--,--,--,21,19,7,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15,12,5,29,11,12,17,32,--,--,--,--,--,--,--
2206345,I2110345,185,185,Elig/SE,--,--,--,--,--,--,--,12,19,9,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,6,2,27,12,14,18,28,--,--,--,--,--,--,--
2206346,I2110346,207,207,Elig/SE,23,9,19,23,16,14,13,--,--,--,--,23,20,15,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206347,I2110347,118,118,Failed,6,6,3,26,05,06,01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,17,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206348,I2110348,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2206350,I2110350,303,303,Passed,--,--,--,--,--,--,--,26,27,12,44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,21,18,41,19,22,19,37,--,--,--,--,--,--,--
2206351,I2110351,236,236,Passed,24,18,9,36,27,17,24,--,--,--,--,20,18,12,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206352,I2110352,172,172,Elig/SE,16,14,12,34,6,AA,11,20,19,14,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206353,I2110353,130,130,Failed,1,6,16,30,0,0,0,--,--,--,--,17,17,12,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206354,I2110354,228,228,Passed,14,13,18,33,23,17,32,--,--,--,--,--,--,--,--,--,--,--,22,21,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206355,I2110355,210,210,Passed,16,6,8,31,18,10,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,21,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206356,I2110356,171,171,Failed,4,5,18,26,07,11,09,--,--,--,--,23,20,16,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206357,I2110357,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206358,I2110358,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--
2206359,I2110359,142,142,Failed,5,7,13,38,06,09,06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,17,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206360,I2110360,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2206361,I2110361,302,302,Passed,16,15,29,35,38,43,35,--,--,--,--,--,--,--,--,--,--,--,30,29,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206362,I2110362,229,229,Passed,--,--,--,--,--,--,--,22,14,5,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,19,16,32,--,--,--,--,11,22,13,29,--,--,--,--,--,--,--
2206363,I2110363,281,281,Passed,--,--,--,--,--,--,--,18,20,13,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,12,22,34,26,27,18,36,--,--,--,--,--,--,--
2206364,I2110364,229,229,Passed,--,--,--,--,--,--,--,20,20,14,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,13,15,25,14,18,19,31,--,--,--,--,--,--,--
2206365,I2110365,243,243,Passed,--,--,--,--,--,--,--,24,16,9,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,20,19,38,--,--,--,--,13,13,16,28,--,--,--,--,--,--,--
2206366,I2110366,202,202,Elig/SE,20,7,21,29,10,14,20,--,--,--,--,17,17,14,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206367,I2110367,197,197,Elig/SE,11,15,22,35,17,8,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,31,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206368,I2110368,153,153,Elig/SE,2,11,20,29,01,06,08,--,--,--,--,14,16,18,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206369,I2110369,210,210,Elig/SE,15,13,21,33,13,8,14,--,--,--,--,20,20,21,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206370,I2110370,131,131,Failed,5,8,22,31,01,02,03,--,--,--,--,--,--,--,--,--,--,--,AA,28,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206371,I2110371,211,211,Elig/SE,24,11,23,37,02,03,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,26,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206372,I2110372,228,228,Elig/SE,18,19,19,36,17,10,14,--,--,--,--,23,24,16,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206373,I2110373,258,258,Passed,17,17,26,31,29,19,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37,31,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206374,I2110374,233,233,Passed,21,13,16,31,26,22,25,--,--,--,--,13,21,14,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2206375,I2110375,224,224,Passed,18,11,18,31,20,18,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,22,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
